k2,k5,k10
127197.9777961485,120870.21025636801,125174.05683729028
124852.10671425964,124753.02210718377,130602.50337438111
122270.44703991317,127684.89351361127,127635.07818908535
126210.65649183455,122898.37220259158,133257.83725017437
124007.14933330702,124316.07834508861,116493.39155736471
140103.2378874542,123160.40346336726,122683.46675714268
125363.5703312941,123508.6862574543,132792.85210985038
114106.02994560148,125107.03818637111,126213.34507757722
122821.25682099717,123919.83431514607,122750.67943833281
127818.94808022608,126804.5409562681,125040.59625806272
115988.95342635308,128327.4113675843,121469.84192944344
120339.08934115896,115395.73702166778,124245.51473380983
127394.71228851577,114564.97931553799,120339.56223421618
121892.24615560197,120848.71074280888,119063.90825399985
115349.40162810538,122404.6484134353,116718.33761770757
125823.01662507586,119305.57947448104,124929.53522040807
120438.34884773585,119246.559892849,119221.9086069481
116052.53680364437,114536.09292768133,113676.69804171305
117253.2619565734,122414.93045871139,116227.79340968028
116350.8564608837,119987.92699100207,125339.57072988419
120453.19153843175,119359.51548644985,118434.33760643697
116196.60690103364,121014.24073520368,120229.31693335882
119602.79583284883,117561.70453514156,119553.53012826965
116266.86899893543,119164.92484041286,116849.20980005649
117670.41902407412,121490.1533642961,116997.6427357691
120116.49447515095,118947.25666465652,116751.13879936314
118323.65084305152,123903.82737913338,117432.85098292245
117742.21137899724,121365.14558337534,121722.87765289527
119927.07419148795,115592.68759720665,118130.79212322083
117842.78124829254,122116.70622428108,119243.48538669765
